occupation,visa_type,分数线,该线获邀率%,该线样本n,EOI总数,曾获邀
452312 Gymnastics Coach or Instructor,491SNR State or Territory Nominated - Regional,,,,28.0,0.0
452313 Horse Riding Coach or Instructor,190SAS Skilled Australian Sponsored,,,,5.0,0.0
452313 Horse Riding Coach or Instructor,491SNR State or Territory Nominated - Regional,,,,3.0,0.0
452315 Swimming Coach or Instructor,190SAS Skilled Australian Sponsored,,,,228.0,3.0
452315 Swimming Coach or Instructor,491SNR State or Territory Nominated - Regional,,,,264.0,3.0
452316 Tennis Coach,189PTS Points-Tested Stream,,,,68.0,9.0
452316 Tennis Coach,190SAS Skilled Australian Sponsored,,,,73.0,6.0
452316 Tennis Coach,491FSR Family Sponsored - Regional,,,,6.0,0.0
452316 Tennis Coach,491SNR State or Territory Nominated - Regional,,,,55.0,2.0
452317 Other Sports Coach or Instructor,190SAS Skilled Australian Sponsored,,,,323.0,3.0
452317 Other Sports Coach or Instructor,491SNR State or Territory Nominated - Regional,,,,416.0,4.0
452321 Sports Development Officer,190SAS Skilled Australian Sponsored,,,,123.0,10.0
452321 Sports Development Officer,491SNR State or Territory Nominated - Regional,,,,113.0,9.0
452411 Footballer,189PTS Points-Tested Stream,,,,6.0,1.0
452411 Footballer,190SAS Skilled Australian Sponsored,,,,6.0,2.0
452411 Footballer,491SNR State or Territory Nominated - Regional,,,,3.0,1.0
452413 Jockey,491SNR State or Territory Nominated - Regional,,,,3.0,1.0
452499 Sportspersons nec,190SAS Skilled Australian Sponsored,,,,5.0,0.0
452499 Sportspersons nec,491SNR State or Territory Nominated - Regional,,,,10.0,0.0
511111 Contract Administrator,190SAS Skilled Australian Sponsored,,,,4198.0,74.0
511111 Contract Administrator,491SNR State or Territory Nominated - Regional,,,,5292.0,68.0
511112 Program or Project Administrator,189PTS Points-Tested Stream,,,,4.0,0.0
511112 Program or Project Administrator,190SAS Skilled Australian Sponsored,,,,8499.0,99.0
511112 Program or Project Administrator,491SNR State or Territory Nominated - Regional,,,,9762.0,75.0
599612 Insurance Loss Adjuster,190SAS Skilled Australian Sponsored,,,,163.0,0.0
599612 Insurance Loss Adjuster,491SNR State or Territory Nominated - Regional,,,,197.0,1.0
599915 Clinical Coder,190SAS Skilled Australian Sponsored,,,,1.0,0.0
599915 Clinical Coder,491SNR State or Territory Nominated - Regional,,,,574.0,2.0
611211 Insurance Agent,190SAS Skilled Australian Sponsored,,,,640.0,8.0
611211 Insurance Agent,491SNR State or Territory Nominated - Regional,,,,1275.0,16.0
612112 Property Manager,491SNR State or Territory Nominated - Regional,,,,405.0,13.0
612115 Real Estate Representative,491SNR State or Territory Nominated - Regional,,,,612.0,1.0
639211 Retail Buyer,190SAS Skilled Australian Sponsored,,,,367.0,1.0
639211 Retail Buyer,491SNR State or Territory Nominated - Regional,,,,484.0,3.0
N/A,188BI Business Innovation,,,,208.0,14.0
N/A,188INV Investor,,,,269.0,2.0
None Provided,189PTS Points-Tested Stream,,,,8.0,0.0
None Provided,190SAS Skilled Australian Sponsored,,,,10.0,0.0
None Provided,491FSR Family Sponsored - Regional,,,,1.0,0.0
None Provided,491SNR State or Territory Nominated - Regional,,,,16.0,0.0
